ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
cbtc_train_1,0.075401895,0.0349551,0.009047479,0.08090852,0.08684979,0.17882916,0.005007218,0.18043819,0.047991365,0.2603773,0.54652584,0.6340805,0.2577872,0.0028749937,0.13957608,0.15936737,0.4834482,0.3224696,0.025602834,0.07936168,0.072267,0.0022577385,0.03136892,0.051105034,0.009762156,0.22601911,0.13438682,0.18427543,0.12027331,0.06621149,0.36726493,0.62271625,0.17177705,0.0022250263,0.056299318,0.0058453605,0.0046649883,0.041587513,0.35359752,0.2292114,0.52227277,0.01817961,0.12287098,0.2164936,0.16788916,0.37617347,0.0023486833,0.0075189187,0.25197062,0.025416601,0.08992449,0.06171122,0.10559525,0.16498627,0.26464596,0.1920142,0.08703596,0.12155199,0.29643008,0.055665806,0.5818808,0.22858295,0.0050345925,0.0011822514,0.3582786,0.47986102,0.45552266,0.52000046,0.0022404839,0.0015269368,0.29932207,0.07542418,0.45892912,0.0038988015,0.29417875,0.01475229,0.0033785575,0.22583516,0.43584618,0.040877648,0.059146855,0.5391228,0.036732983,0.048727173,0.079934396,0.07310773,0.23053862,0.3032922,0.15813477,0.0039847125,0.0046295207,0.08084361,0.04211233,0.39913556,0.02937665,0.008481791,0.1608099,0.11668672,0.10052192,0.07904002
cbtc_train_10,0.15281782,0.0016312072,1.2978239,0.082790524,0.0,0.23431338,0.5795437,0.12972285,0.39774823,0.33556488,0.0,0.18395954,0.11922553,0.000511793,0.19429457,0.44506055,0.0,0.0,0.3202707,0.09427133,0.02208771,0.23320773,0.056176007,0.3783024,1.4907706,0.1255573,0.56820816,0.2645462,0.3826306,0.036817078,0.34836015,0.52377635,0.13763021,0.34492955,0.00036015306,0.74387354,0.7344148,0.15997164,0.5283107,0.0006973742,0.44324705,0.019581925,0.064127706,0.13362461,0.2151693,0.0,9.888078e-05,1.1794538,0.26815593,0.029358644,0.26324084,0.018130042,0.27260485,0.06124747,0.3010547,0.28696024,0.18470363,0.20848237,0.24589154,0.09973011,0.140626,0.0,0.7271645,7.8265126e-05,0.16058181,0.0,0.72853184,0.0,0.3104414,0.01033787,0.0,0.061562333,0.4499785,0.71516514,0.0,0.06341042,0.30215108,0.26516604,0.52967536,0.03827862,0.6706305,0.0,0.07832303,0.12606561,0.07363481,0.11129483,0.35035214,0.0,0.10717493,0.68448794,0.65603596,0.06514982,0.6667566,0.0,0.08464895,1.2631037,0.0,0.13583395,0.10366445,0.094089955
cbtc_train_11,0.058125064,0.0043391744,0.3108656,0.036245927,0.01968809,0.15538934,0.15787007,0.032282397,0.110620424,0.16399767,0.09217053,0.27848047,0.18065229,0.0062873345,0.09781016,0.23514983,0.12269659,0.09827959,0.105663404,0.022449136,0.019903248,0.07877632,0.010859042,0.11525866,0.3055572,0.12669542,0.20870978,0.075887874,0.12069678,0.017160214,0.2535333,0.34082547,0.10401694,0.07998118,0.019968234,0.19821395,0.16394594,0.044187315,0.21108754,0.11756396,0.2311617,0.012412449,0.027954156,0.093600206,0.09777041,0.07738239,0.0032302134,0.25614804,0.13342802,0.021107296,0.08590638,0.036653288,0.06797611,0.03002583,0.16023165,0.10822934,0.029216738,0.07302126,0.120060235,0.032024197,0.22288507,0.06275988,0.1717322,0.000168129,0.12993282,0.09665232,0.16834745,0.12358123,0.083254024,0.0031379391,0.062086586,0.020317934,0.23448677,0.12575752,0.08234182,0.03233766,0.08477985,0.08018249,0.33673403,0.0205043,0.22342181,0.09894117,0.03745422,0.03972072,0.047134794,0.04034587,0.10025182,0.049840245,0.058755364,0.1284459,0.17389338,0.046300005,0.19401269,0.10868749,0.04130268,0.27938107,0.03432158,0.059045702,0.061578643,0.048770137
cbtc_train_12,0.07343701,0.00056133186,0.55914384,0.040247276,0.000543568,0.1384848,0.25801256,0.050970644,0.14950661,0.19555208,0.0018141688,0.23105623,0.10377358,0.00093598384,0.11075806,0.2388488,0.0044218265,0.0029388499,0.1487234,0.032681115,0.028968861,0.096371844,0.016397418,0.16411984,0.5743008,0.1260397,0.26468456,0.10734487,0.15571655,0.026283542,0.2605266,0.375865,0.10898961,0.14829496,0.0020665962,0.31164035,0.31138036,0.066794775,0.24571201,0.012408798,0.25434664,0.011775666,0.041533824,0.090289764,0.112716205,0.0024986484,0.005801504,0.48667967,0.15936755,0.021245437,0.107909344,0.025095802,0.09734529,0.04526257,0.16964948,0.111145176,0.043561053,0.09001521,0.13379733,0.04082911,0.20109151,0.0012853218,0.2898253,0.00038114277,0.13823137,0.0047972146,0.28875703,0.0029391202,0.13769339,0.0052738474,0.0024946614,0.030364787,0.2693448,0.27257323,0.002595683,0.042035084,0.13731724,0.1048111,0.36019602,0.029200284,0.3070282,0.0022421144,0.03712629,0.056808166,0.048257284,0.057905108,0.14094786,0.0015604148,0.057981405,0.27245143,0.29128763,0.04660168,0.28201047,0.0054284814,0.043284956,0.5141524,0.0014762148,0.07242671,0.06391146,0.060245194
cbtc_train_13,0.06442103,0.0043657054,0.31531712,0.034972504,0.018565483,0.15897322,0.15284199,0.15081514,0.09960667,0.1865211,0.07220789,0.32321355,0.17510363,0.004672692,0.11137318,0.25394592,0.12769614,0.0957453,0.112165295,0.09560675,0.114285655,0.07462271,0.049228113,0.13638796,0.29724705,0.15259336,0.20403898,0.10804848,0.13398407,0.10419798,0.3014703,0.39606407,0.12286262,0.078248605,0.023393603,0.21490827,0.16860983,0.045129098,0.23279586,0.10840976,0.26319852,0.012757705,0.14724965,0.1100586,0.11216392,0.07942438,0.020944484,0.25258505,0.15101449,0.02602058,0.08342988,0.042180028,0.10138242,0.15605532,0.17843218,0.14951685,0.12177589,0.07432645,0.15997915,0.040667973,0.26425475,0.04764356,0.17689657,0.00028668848,0.15254365,0.10287201,0.27702618,0.10897291,0.081659846,0.016645886,0.0640862,0.096951336,0.26963925,0.12218145,0.06713097,0.032082804,0.091966614,0.1319354,0.38277045,0.026901903,0.2406844,0.0895179,0.038203187,0.04324202,0.051067073,0.049567893,0.13847624,0.0529036,0.08492884,0.12350097,0.17284177,0.053441834,0.20003054,0.10513439,0.044192832,0.27829033,0.040710766,0.07062901,0.07012425,0.057962175
cbtc_train_14,0.0300771,0.0053091934,0.2659164,0.029523147,0.018271053,0.12194621,0.12152616,0.23960337,0.09561221,0.07710117,0.08901145,0.13423201,0.122322254,0.0025200865,0.044845372,0.19267994,0.10477769,0.07933203,0.084421165,0.15052846,0.1412363,0.05455421,0.066857465,0.122696266,0.26208135,0.053687986,0.15152672,0.095431946,0.12603913,0.1250565,0.10690406,0.16094057,0.044592053,0.076778784,0.016638381,0.17035948,0.14790754,0.037560705,0.11054452,0.08003373,0.1310771,0.004994981,0.19429561,0.04303871,0.049268935,0.07344682,0.026244078,0.22083303,0.07044515,0.008546738,0.06807644,0.015043541,0.096796006,0.21827592,0.07965153,0.12199665,0.17303899,0.060827274,0.11678826,0.032455567,0.11730942,0.047747217,0.14143461,0.00017660116,0.07547185,0.09247164,0.29219794,0.10123535,0.06843597,0.0199412,0.057040043,0.13340811,0.118770614,0.12050489,0.06056218,0.023730252,0.07999881,0.12472051,0.15537176,0.010492457,0.18628888,0.09331847,0.029936556,0.030963441,0.021699157,0.022599576,0.13259676,0.052540142,0.062410224,0.11585511,0.13760124,0.021654082,0.16557422,0.08817365,0.03144031,0.24403599,0.034532905,0.03600108,0.030273784,0.024090959
cbtc_train_15,0.06619563,0.001642576,0.7714296,0.043350775,0.0075928047,0.18373567,0.3384566,0.46880803,0.23028947,0.13541892,0.015509693,0.090677306,0.11012701,0.0005502712,0.07965101,0.35620442,0.052671894,0.040029075,0.20796598,0.32544506,0.26467675,0.13171007,0.15339102,0.302445,0.831419,0.04913801,0.32744524,0.21739247,0.28738263,0.26034623,0.13913397,0.22496192,0.048804272,0.22068918,0.012108987,0.48311618,0.4417649,0.097163975,0.23368666,0.051489867,0.21552591,0.009441747,0.40113312,0.049614042,0.08688825,0.026685378,0.047078293,0.67180043,0.1175369,0.009036627,0.16457972,0.010915493,0.23180681,0.40827456,0.1260186,0.25149843,0.40672427,0.122860596,0.2114989,0.07122491,0.08427162,0.016655272,0.41868556,0.00031451424,0.09886667,0.04228593,0.68924075,0.024279926,0.18532728,0.043480095,0.025999598,0.2886983,0.19622318,0.41183218,0.01712607,0.04440938,0.2143674,0.2783783,0.23111193,0.013035265,0.45623857,0.022235028,0.055153724,0.07202626,0.031467613,0.05068826,0.28861916,0.021171983,0.106211096,0.38137126,0.3790417,0.02757736,0.44630334,0.04236473,0.060040038,0.71977973,0.018877143,0.06736125,0.047213253,0.038937073
cbtc_train_16,0.030059885,0.00876553,0.16445342,0.037434414,0.03707215,0.13879322,0.0849869,0.19683877,0.08995768,0.086850055,0.17186199,0.16054459,0.16598052,0.004085275,0.05104931,0.20903312,0.1997115,0.15758976,0.074302405,0.13136333,0.12553643,0.035204407,0.052527435,0.107194446,0.16853414,0.06508948,0.15645112,0.0895558,0.118416145,0.11122952,0.12811452,0.19561775,0.052245792,0.04731751,0.031217504,0.11607187,0.09207656,0.036092635,0.11935294,0.14443122,0.14977068,0.005980871,0.166685,0.052553862,0.055669785,0.14719553,0.019600406,0.14276256,0.077939466,0.009595898,0.07968246,0.0185448,0.079788275,0.19326644,0.085819796,0.109859824,0.14741202,0.06711988,0.12446015,0.03001434,0.14104329,0.08938401,0.099385306,0.0002459296,0.08877353,0.18579343,0.26229194,0.2027451,0.045233153,0.015235094,0.11063557,0.11405961,0.13658583,0.07491598,0.11322523,0.021839716,0.04983243,0.119871624,0.17243358,0.011574478,0.16504638,0.17788047,0.032646146,0.02956193,0.024783364,0.024135133,0.12588246,0.100134395,0.061903924,0.07438711,0.088610195,0.02564303,0.1385043,0.15852855,0.034435075,0.15317374,0.06825599,0.03565441,0.032792214,0.026945129
cbtc_train_17,0.021695996,0.017412998,0.030721854,0.043021034,0.054286864,0.12685099,0.014593643,0.3960471,0.045377973,0.069788165,0.28739858,0.18283118,0.15956727,0.0013248826,0.037979957,0.14647563,0.2908232,0.21473148,0.028958071,0.25851214,0.25065205,0.008755993,0.10075427,0.082600854,0.028622039,0.058893535,0.082202025,0.13636386,0.112839304,0.2218871,0.09756285,0.1736291,0.04612469,0.008525274,0.04608068,0.030253064,0.015978782,0.03048702,0.10155701,0.16343074,0.1717199,0.005029689,0.33981994,0.061441734,0.047760475,0.2268443,0.037818298,0.024263967,0.07003442,0.006224377,0.058164865,0.016859243,0.10960612,0.3822004,0.075532354,0.15838355,0.27842444,0.06776178,0.18716276,0.040045615,0.18441829,0.11845788,0.018609326,0.0005187068,0.113875136,0.30302566,0.41824567,0.28257546,0.008842033,0.026319312,0.18463166,0.22286627,0.13445446,0.012309129,0.15347348,0.00919687,0.013493987,0.19253182,0.119145826,0.01155185,0.07056652,0.2919723,0.024582867,0.02777334,0.02165997,0.022754734,0.18490401,0.18071915,0.10278018,0.011367184,0.016688636,0.025519235,0.055027522,0.23119746,0.027143914,0.026623787,0.1146255,0.03875998,0.028506188,0.019936584
cbtc_train_18,0.02267598,0.001595197,0.302757,0.024613336,0.013593753,0.13851564,0.13060059,0.5791004,0.10654689,0.04886272,0.035072166,0.057398625,0.10358213,0.0011236708,0.030061701,0.2534205,0.08758915,0.06993244,0.10632173,0.38787377,0.3856211,0.07135679,0.17551075,0.199973,0.30019704,0.026808621,0.15617208,0.16389994,0.1773852,0.3540769,0.059541706,0.09077118,0.025117306,0.086329535,0.024312666,0.23341823,0.1646206,0.043884564,0.0824653,0.0848115,0.07561911,0.0035336267,0.5137032,0.022482716,0.031221397,0.05792569,0.07947395,0.25257137,0.041099034,0.0050495504,0.07753733,0.0073137684,0.18516824,0.55306786,0.048582733,0.22346382,0.44054255,0.057607453,0.18480203,0.053712197,0.048508573,0.022557354,0.1690506,0.00036908113,0.03830208,0.08502606,0.556346,0.058478177,0.077949695,0.058517892,0.050561257,0.3486544,0.07333698,0.14471272,0.030149886,0.023903603,0.10427556,0.2397888,0.09876171,0.0058074743,0.23879248,0.04945966,0.032816716,0.03585691,0.011626655,0.017945208,0.22725251,0.040298443,0.10008429,0.13155095,0.15094939,0.013116886,0.20611858,0.06744511,0.03821111,0.27336046,0.039589413,0.02715659,0.018580234,0.015046435
