ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
cbtc_train_1,0.07433828,0.034650292,0.00907462,0.079484016,0.08535408,0.17182195,0.005296203,0.17832968,0.047648087,0.26105532,0.5433017,0.63295925,0.257156,0.003459785,0.13715874,0.15974477,0.4771727,0.3162365,0.024738774,0.07954822,0.07257258,0.0022661472,0.029132543,0.04958776,0.010143249,0.22977102,0.13183641,0.18854797,0.12336762,0.06312932,0.37343198,0.62925136,0.17489815,0.0025700645,0.054799523,0.005894712,0.004929911,0.041181885,0.36034876,0.22581673,0.5258309,0.017684802,0.124722645,0.22043149,0.16984332,0.37132567,0.0021733872,0.0077683236,0.2547307,0.026462242,0.08791156,0.061472915,0.106823795,0.15712476,0.2662097,0.19608368,0.08634295,0.1196337,0.29989746,0.056393564,0.5831479,0.22320467,0.0051290276,0.0011573987,0.3590009,0.4780978,0.46029392,0.5225515,0.0023794256,0.0017171764,0.29872155,0.07440277,0.46715516,0.0041493676,0.295851,0.013799861,0.0028862925,0.22818698,0.4453798,0.041371338,0.06162552,0.5348023,0.037476562,0.048304003,0.08012064,0.0734021,0.2336331,0.30160987,0.15649618,0.004112588,0.0050004036,0.0827384,0.040002756,0.39887884,0.029168492,0.007948338,0.158921,0.11750037,0.09874901,0.08046695
cbtc_train_10,0.14882994,0.0010724757,1.3045646,0.07874379,0.0,0.24302469,0.587913,0.13488273,0.40275016,0.33299673,0.0,0.18613048,0.1207437,0.00036029125,0.19316833,0.45235172,0.0,0.0,0.31604087,0.10313117,0.02320447,0.22457562,0.059866484,0.38207534,1.4955931,0.122928135,0.562897,0.26187795,0.3820486,0.037610702,0.33357108,0.5079704,0.13192932,0.34745,0.0005171148,0.7477486,0.7386212,0.1599002,0.5213751,0.00095570245,0.43096137,0.02124646,0.07083289,0.12650225,0.21538489,0.0,0.00020471938,1.1837976,0.27049547,0.025561199,0.26961493,0.019041767,0.27295864,0.06663959,0.28743818,0.2797333,0.1847092,0.21133615,0.24395895,0.0959403,0.13445069,0.0,0.73544896,0.0003948093,0.1667344,0.0,0.743595,0.0,0.30921385,0.011214253,5.855352e-05,0.06529613,0.4489764,0.7177845,0.0,0.06732608,0.30767578,0.2616885,0.5150718,0.036221366,0.6758375,0.0,0.078022785,0.12480867,0.073651925,0.10717364,0.3451223,0.0,0.10468031,0.6918127,0.6608904,0.06371444,0.6632196,0.0,0.086291306,1.2585782,0.0,0.13808241,0.09956827,0.09428043
cbtc_train_11,0.057639167,0.0037596892,0.31390437,0.037200935,0.021096103,0.15636565,0.15717363,0.03464018,0.111008845,0.16151898,0.093359336,0.2800594,0.18290415,0.0063335276,0.095324464,0.23473471,0.12593225,0.100297384,0.10599981,0.021407302,0.020396516,0.0765854,0.010046468,0.11641816,0.3050072,0.12585203,0.20963845,0.074912176,0.121872604,0.01740283,0.25084,0.3360752,0.10231252,0.08101413,0.019977177,0.20174465,0.16476639,0.04385158,0.21147576,0.12242601,0.23163891,0.011647299,0.02827723,0.09145844,0.096892886,0.07842063,0.0029376987,0.25683567,0.13359317,0.021312943,0.08318949,0.03574692,0.06466754,0.029485438,0.1583656,0.1067899,0.027661746,0.075709775,0.120119244,0.031621665,0.22131224,0.06467615,0.1705105,9.586194e-05,0.12906621,0.09934446,0.16754465,0.12474863,0.08569516,0.0033821622,0.06193085,0.019772727,0.23358554,0.124674074,0.08310313,0.03222908,0.086864635,0.08082476,0.33899242,0.021047466,0.22543527,0.09973132,0.038858883,0.04030848,0.0460992,0.039849296,0.09857073,0.048723295,0.05854325,0.1285153,0.176153,0.045961328,0.19326068,0.107579745,0.041042294,0.27579772,0.034245986,0.058470875,0.061070774,0.04933052
cbtc_train_12,0.074776486,0.0006426888,0.5554401,0.03766566,0.0007049772,0.13687019,0.25481862,0.051773943,0.14736515,0.1973182,0.0020949757,0.22536895,0.10261598,0.00093029893,0.10754254,0.23434396,0.0051467186,0.0030594345,0.14540806,0.035471935,0.029754143,0.0994718,0.015671972,0.16143435,0.5717549,0.12774356,0.2632945,0.10735815,0.15407738,0.026438931,0.27208078,0.37615988,0.10603854,0.14141813,0.00246753,0.31552935,0.3068274,0.06588703,0.24579248,0.013698434,0.25987563,0.0114711085,0.04067924,0.08959704,0.11502208,0.0030736502,0.0053521628,0.48702386,0.16245985,0.023722218,0.105634846,0.027149323,0.09608488,0.04633196,0.1720086,0.115825385,0.04214989,0.08811843,0.13499369,0.04162761,0.19554648,0.0016977636,0.28815615,0.00017301543,0.14360775,0.004440453,0.2882795,0.0030484297,0.13679866,0.0052260477,0.0026945001,0.029540332,0.27206725,0.27024695,0.002386337,0.041081242,0.13730414,0.1059397,0.36394736,0.02947281,0.30232272,0.0022097772,0.03631365,0.05557368,0.049162313,0.058631968,0.14099598,0.0018269605,0.058744367,0.27005452,0.290851,0.048162527,0.27630478,0.00459803,0.041646264,0.5087059,0.001508123,0.07282181,0.064690776,0.058350995
cbtc_train_13,0.06567188,0.003698416,0.3155094,0.03496276,0.018423242,0.16025777,0.15271164,0.14812869,0.095318966,0.18798439,0.0737305,0.32757822,0.16890468,0.0047161756,0.11140468,0.24978004,0.12773885,0.09553099,0.11113782,0.09842015,0.11271537,0.07663549,0.050453175,0.13612232,0.299864,0.15411529,0.20287405,0.10941025,0.1362174,0.10404453,0.3002706,0.39336765,0.12273817,0.076968774,0.022249633,0.21157235,0.16747557,0.046495207,0.2323303,0.113380834,0.26617903,0.013261513,0.14744797,0.11182444,0.11378282,0.07832574,0.021206811,0.25712118,0.15348776,0.02548839,0.08908759,0.042084254,0.10558149,0.15559791,0.17889601,0.15100266,0.11919474,0.07250017,0.15794617,0.039809715,0.2653519,0.048961204,0.17221348,0.00022857667,0.15675877,0.10865915,0.26987082,0.11003668,0.08239942,0.016378043,0.06670043,0.09882927,0.2690003,0.119994625,0.06693218,0.032069683,0.09089266,0.1326052,0.3877964,0.027174292,0.23790745,0.089222215,0.039674494,0.04309053,0.05300458,0.05029098,0.1424956,0.05389709,0.082269475,0.124270976,0.17066999,0.053738687,0.19539072,0.105051175,0.04558934,0.28252992,0.040921032,0.06956398,0.07085674,0.060199574
cbtc_train_14,0.029331053,0.00508791,0.2617006,0.030961893,0.01797558,0.12152877,0.12004952,0.23854893,0.09268975,0.07786543,0.09021281,0.1335525,0.123209946,0.0024724845,0.0448536,0.19063474,0.10454128,0.07844057,0.08356592,0.152119,0.14227222,0.056755103,0.06732616,0.12245038,0.2608291,0.053606596,0.15046196,0.0980556,0.1265133,0.12565163,0.108738944,0.15849614,0.043699585,0.07586793,0.017002113,0.17095076,0.14501135,0.038417835,0.1101393,0.0807627,0.12892108,0.0055127293,0.19962256,0.04281778,0.049047317,0.07338672,0.02682856,0.2181176,0.069990404,0.00771632,0.06805405,0.015154245,0.09505598,0.21640511,0.07965039,0.12230918,0.17226902,0.05917987,0.12038671,0.0332372,0.116109796,0.04857925,0.14008886,0.00016981088,0.075955585,0.09275611,0.29467723,0.10190187,0.06752232,0.019959323,0.057402264,0.13720109,0.11827994,0.12057222,0.0601166,0.024376301,0.07954919,0.12555565,0.15508315,0.010666278,0.18285842,0.09267092,0.030494153,0.0307924,0.021099098,0.022799524,0.13036841,0.05162559,0.064580426,0.11505624,0.13494423,0.022555375,0.16394034,0.08624351,0.030498676,0.23778316,0.034259595,0.03511122,0.03026531,0.025231758
cbtc_train_15,0.066753514,0.0015852652,0.7626705,0.042738177,0.0069356123,0.18968551,0.33441752,0.47048908,0.23209853,0.14171097,0.017356036,0.088703685,0.10954939,0.00064386416,0.085346304,0.3543427,0.050934475,0.04200189,0.21239068,0.3220591,0.25976726,0.1357443,0.15395312,0.30218723,0.8293979,0.052538894,0.3280901,0.21288353,0.28674194,0.2528612,0.14774308,0.2270991,0.051814277,0.22182989,0.011742681,0.48186964,0.43982354,0.098394915,0.22844154,0.056146838,0.21883005,0.007958936,0.39790335,0.049499147,0.086931296,0.02495901,0.048636835,0.6627035,0.118057676,0.010022854,0.16608663,0.011605142,0.23110844,0.40514636,0.12674621,0.24631529,0.40297392,0.11938568,0.20952325,0.072602816,0.08251303,0.017586244,0.42011368,0.00021120609,0.099192776,0.04228824,0.70062166,0.026466742,0.18531916,0.042033426,0.026084116,0.2847937,0.19854766,0.40609735,0.018559748,0.042903148,0.21217644,0.27347726,0.22536878,0.014784933,0.45334688,0.022145227,0.05350759,0.073488615,0.033964887,0.054292828,0.28766543,0.019791758,0.104980655,0.37828258,0.37629303,0.027778065,0.43835348,0.043675754,0.057451427,0.72340643,0.019719154,0.070552215,0.046827596,0.040789668
cbtc_train_16,0.031399805,0.008687564,0.16284321,0.036943436,0.0369336,0.13623461,0.08378993,0.2004015,0.08686862,0.08794006,0.17350926,0.16298895,0.16662872,0.0042978753,0.052433085,0.20552504,0.20022656,0.16005222,0.072782554,0.12937136,0.12671095,0.034750495,0.052581888,0.106429465,0.16292538,0.066111766,0.1544667,0.08830172,0.11909469,0.11075526,0.12817867,0.19105725,0.05353285,0.044613883,0.03175484,0.113734275,0.08825466,0.036026374,0.12065669,0.14322819,0.15132082,0.0059471796,0.16625683,0.052426472,0.055809446,0.14675495,0.02034484,0.13757385,0.07873958,0.010436617,0.07490305,0.01856471,0.07942782,0.19081572,0.08673217,0.112094514,0.14368765,0.065529965,0.12528461,0.029682761,0.14255412,0.08843576,0.093423665,0.00019645307,0.09177132,0.1849537,0.26052213,0.20674556,0.04274651,0.014598751,0.110635206,0.11340073,0.14008859,0.07446444,0.11204725,0.021112269,0.049225576,0.11920552,0.17353864,0.011070146,0.16199835,0.17851181,0.03136177,0.029380566,0.023666536,0.023912013,0.12845059,0.10172326,0.06263806,0.07249036,0.08692449,0.025826273,0.13622285,0.1611402,0.03446869,0.15022236,0.069430165,0.03581178,0.03274268,0.026334433
cbtc_train_17,0.021029115,0.017723799,0.03327936,0.043173485,0.054462455,0.12538001,0.015054223,0.38925382,0.045142714,0.069605954,0.28499287,0.18316413,0.15983075,0.0017403456,0.0377141,0.15322798,0.2895875,0.21660705,0.030139036,0.25624922,0.25167447,0.010277927,0.10079638,0.083566315,0.028278269,0.05947392,0.08392029,0.13919698,0.11499382,0.22225343,0.098870106,0.17476568,0.04610408,0.008458874,0.044132072,0.03245831,0.016649228,0.030574301,0.10112143,0.162783,0.17116801,0.004883109,0.3399777,0.061623022,0.04893671,0.22869372,0.03849494,0.023553003,0.070838355,0.006702825,0.060998086,0.016770044,0.10899114,0.37989166,0.07477244,0.15616068,0.2765987,0.06745752,0.18552908,0.039697014,0.18515475,0.118214704,0.01698428,0.00057472684,0.11369165,0.29513237,0.41364968,0.28529677,0.009438943,0.026989078,0.18372798,0.22251998,0.1328523,0.011746793,0.1535,0.01080313,0.014081289,0.19550589,0.121832564,0.011694447,0.0749705,0.2943604,0.024078837,0.02794676,0.021280177,0.02241872,0.18299422,0.18064588,0.10592695,0.011831757,0.016775731,0.025802309,0.05266618,0.23032877,0.028490456,0.026695497,0.11508077,0.038577326,0.028323257,0.020559255
cbtc_train_18,0.023873016,0.0019233496,0.29382735,0.023404447,0.012507007,0.12554002,0.12798433,0.57602626,0.1040756,0.050699547,0.034198392,0.061876934,0.09777509,0.00109519,0.030688114,0.2482849,0.09233589,0.07290482,0.101640634,0.383301,0.39024755,0.07177341,0.17475171,0.19821467,0.29467463,0.028212043,0.15536644,0.16220051,0.17703699,0.35223284,0.064750664,0.09113538,0.026506485,0.08732765,0.023070998,0.22926793,0.16377868,0.043454967,0.08050166,0.079234816,0.07789148,0.004596094,0.51226103,0.023820164,0.033249237,0.055399936,0.07806332,0.25261196,0.042988792,0.004922943,0.076565,0.008433668,0.18717854,0.5500895,0.050247267,0.22972189,0.44054058,0.05547606,0.18333654,0.0545313,0.0542528,0.022980245,0.16352229,0.00019391098,0.03824809,0.08600138,0.55730104,0.062822565,0.07490241,0.057407625,0.050865103,0.3479362,0.07490703,0.14368214,0.033205207,0.02375237,0.098188244,0.24232285,0.1021807,0.0061177453,0.23613478,0.049197428,0.03248154,0.034330714,0.012890905,0.01747598,0.22316913,0.041814502,0.10132755,0.13084345,0.1472277,0.014208576,0.20089895,0.06859301,0.03898636,0.27650243,0.039139546,0.028300066,0.019592116,0.01479195
