ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
cbtc_train_1,0.07805513,0.036503993,0.008836166,0.08002907,0.08655209,0.16781488,0.005188768,0.17464253,0.046244275,0.266628,0.54374117,0.6481103,0.25192735,0.0037304522,0.13909303,0.15552326,0.47660923,0.31520632,0.02249517,0.076905265,0.07338973,0.0020275828,0.030106438,0.050282355,0.009223342,0.23482132,0.13238083,0.18787558,0.121992715,0.066643916,0.38053685,0.62778413,0.17649202,0.0023160847,0.056505665,0.0057493076,0.0047365916,0.042750172,0.36004192,0.22756521,0.5232743,0.018878512,0.12195659,0.21946566,0.16993825,0.3730731,0.0019425487,0.007836368,0.252744,0.026448214,0.082480945,0.0650373,0.10574838,0.15371566,0.2674676,0.19506039,0.08544098,0.11868588,0.3018292,0.056597114,0.5858803,0.22720203,0.005463428,0.0013142651,0.35641918,0.4814612,0.4570579,0.5229469,0.002355143,0.0018730672,0.29794103,0.07512041,0.4686775,0.0041480456,0.29940075,0.015149275,0.0030202833,0.22870658,0.44367346,0.04216082,0.059079632,0.5339012,0.03761009,0.04821852,0.08183114,0.07485308,0.22833066,0.29865137,0.15848231,0.004105341,0.004569932,0.08333146,0.042091478,0.4041002,0.029831653,0.0084080845,0.15964302,0.11867668,0.102329895,0.08042649
cbtc_train_10,0.15210357,0.001399942,1.3124356,0.083792344,0.0,0.24146707,0.5853405,0.12612833,0.40446773,0.33293572,0.0,0.17073739,0.12766388,0.0004595176,0.19879599,0.4479698,0.0,0.0,0.32171872,0.09500825,0.022132074,0.22366616,0.057187147,0.3797114,1.4973396,0.11821441,0.56611764,0.25926974,0.38039076,0.038077857,0.33848906,0.50937825,0.13879505,0.3476754,0.00039511936,0.7471848,0.74181,0.15944508,0.510336,0.001399147,0.4497169,0.020663604,0.06586471,0.13098882,0.21285342,0.0,2.966951e-05,1.1763673,0.25734583,0.02919689,0.27941328,0.01915401,0.2761918,0.06349854,0.29010826,0.2724062,0.18562046,0.21193762,0.24073128,0.09910629,0.14130488,0.0,0.7331212,0.00018276254,0.16445172,0.0,0.7466838,0.0,0.3136495,0.010547658,2.5999203e-05,0.06375682,0.45161554,0.71571654,0.0,0.06842421,0.30420268,0.26611993,0.5264546,0.038391672,0.678589,0.0,0.07729946,0.12262639,0.069498256,0.10692501,0.35693204,0.0,0.1048872,0.68928415,0.66202486,0.060342137,0.67109185,0.0,0.08620432,1.2599372,0.0,0.13798258,0.09989055,0.096061885
cbtc_train_11,0.057656165,0.0041182907,0.31277788,0.03644558,0.019444343,0.15298457,0.15703174,0.03325188,0.10884765,0.16149606,0.09270579,0.2800918,0.18190666,0.0062927837,0.09495334,0.23480166,0.123211816,0.09829356,0.1054589,0.021459771,0.019438002,0.077436514,0.0110043315,0.115890734,0.3063217,0.12702772,0.2080923,0.07514673,0.12035519,0.018176612,0.25285667,0.34068108,0.10330696,0.08024828,0.019423755,0.19943525,0.164414,0.04365002,0.21059829,0.11928756,0.2335378,0.01240659,0.027781675,0.09318426,0.09853625,0.07632554,0.0034695996,0.25685808,0.1333174,0.021980897,0.08323445,0.036320522,0.06651662,0.03110663,0.16096504,0.10904177,0.028979031,0.07303028,0.12241043,0.030723853,0.2269655,0.062517636,0.17090642,0.00013200584,0.13055295,0.098140046,0.1679705,0.12301129,0.08542167,0.003103305,0.061387666,0.020444157,0.23776367,0.1256434,0.08202151,0.03234347,0.08478637,0.08012492,0.33849666,0.02150886,0.223124,0.09921416,0.039000187,0.03964943,0.04681577,0.04027062,0.098665535,0.049083836,0.059460722,0.1284341,0.17233352,0.046668485,0.19584355,0.10855368,0.042187363,0.27384293,0.034106534,0.059748136,0.06206988,0.04922722
cbtc_train_12,0.07290028,0.0006433795,0.5538928,0.039170124,0.0006656651,0.1402343,0.25713634,0.049570505,0.14887594,0.19602923,0.0018478873,0.22434804,0.1062594,0.0010748489,0.10691351,0.24196187,0.0057144747,0.003646353,0.1457927,0.03375113,0.029890675,0.09958634,0.015320558,0.16132346,0.5716861,0.12823546,0.26808402,0.109344505,0.15541679,0.025912372,0.26860136,0.3735909,0.1072016,0.14637494,0.0025082377,0.3145189,0.31042817,0.066853225,0.23930097,0.013535982,0.2579759,0.010365946,0.040936638,0.085538514,0.11527695,0.0025645532,0.0055482453,0.48739353,0.1621774,0.021467546,0.10933829,0.0264281,0.10087748,0.044513416,0.17245762,0.11190502,0.04158369,0.08858678,0.13535498,0.040446926,0.19773996,0.0012831696,0.2933987,0.00024435713,0.14263481,0.0049753217,0.28770748,0.0036631513,0.1368297,0.005107639,0.0028265791,0.029588478,0.2680227,0.2662513,0.0030878836,0.040981125,0.13830163,0.103646055,0.35979018,0.028705247,0.30445594,0.0026789708,0.038137827,0.05638228,0.04884026,0.058639184,0.13604327,0.0016530363,0.05752158,0.27367386,0.29159895,0.04789503,0.27754593,0.004932345,0.042246196,0.50933933,0.0019264036,0.07343511,0.0637487,0.05741351
cbtc_train_13,0.064318925,0.0038211744,0.3169046,0.036215477,0.021063419,0.159635,0.15206762,0.1505601,0.10176105,0.18467605,0.07562789,0.3219534,0.17766476,0.0046068523,0.11352835,0.25231797,0.12844779,0.10140957,0.11342882,0.09863713,0.11090444,0.07572806,0.04780605,0.14051504,0.30208325,0.15452552,0.20158577,0.10932044,0.13877836,0.10256741,0.29580173,0.3955203,0.12401761,0.08026885,0.023509707,0.21654278,0.17072073,0.0467814,0.23332784,0.112128064,0.26514935,0.012959486,0.1448588,0.11230082,0.11183645,0.07668312,0.021239558,0.2599914,0.1518361,0.027125496,0.087289445,0.04146799,0.10024862,0.1523076,0.17766891,0.1476979,0.121009335,0.07433095,0.16263703,0.03983873,0.26523653,0.050970323,0.17423558,0.00018477545,0.15496826,0.10802165,0.27060917,0.110412806,0.083594635,0.016971344,0.06594569,0.09441438,0.26877835,0.12171903,0.068627074,0.032789186,0.08660762,0.13318501,0.38019183,0.0269029,0.2414866,0.091714226,0.040834215,0.044401757,0.053405847,0.05027719,0.13812439,0.05734921,0.0808228,0.12460582,0.17660075,0.05272307,0.20044315,0.10859448,0.045263078,0.2824463,0.040438414,0.07020276,0.070708945,0.058578677
cbtc_train_14,0.028516734,0.0050397827,0.26341936,0.028851828,0.018166898,0.119316526,0.119845495,0.23626027,0.09471973,0.07884,0.08897766,0.13495378,0.121597186,0.0026327053,0.044512454,0.19095466,0.10326798,0.07859874,0.08291744,0.15265411,0.14392881,0.05433084,0.066423535,0.12347337,0.2591306,0.053382915,0.15005013,0.0959266,0.12518091,0.12555273,0.106126316,0.15874287,0.04460366,0.07423677,0.016742148,0.17209007,0.1434,0.037724793,0.10979644,0.08037013,0.1308166,0.005146936,0.19544485,0.042976584,0.049097035,0.07297818,0.026182087,0.22322705,0.06658935,0.00815662,0.0674633,0.015208246,0.09302445,0.21498717,0.07929205,0.12605195,0.17171772,0.060497977,0.11748606,0.032850824,0.11743953,0.049036164,0.13716282,0.00015741843,0.0766251,0.09427125,0.29048008,0.102155514,0.06771953,0.020384979,0.057573076,0.13422668,0.120769836,0.12140853,0.0608162,0.023450432,0.0785062,0.12297037,0.15378346,0.010438217,0.18463504,0.0923893,0.030854544,0.030742953,0.020913962,0.022456404,0.13116348,0.051520053,0.06141428,0.11562424,0.13473265,0.022264455,0.16806129,0.0876092,0.030717388,0.24015892,0.034098078,0.035373338,0.030693749,0.02434476
cbtc_train_15,0.07045589,0.0016064394,0.7658285,0.047286246,0.0068256403,0.18193038,0.33711147,0.47107765,0.23582023,0.13442957,0.016102165,0.08431545,0.1124548,0.00056734716,0.08707655,0.35462084,0.049838852,0.044960953,0.21124864,0.32224914,0.2666315,0.13286969,0.15367208,0.3003879,0.83708686,0.05115112,0.32920974,0.21532014,0.28506854,0.26286325,0.14045464,0.23269582,0.051932544,0.21970236,0.012997766,0.48799196,0.44010746,0.0983019,0.23222251,0.0539275,0.21351317,0.0077056494,0.39534357,0.05252913,0.08928705,0.027096802,0.048377678,0.6753379,0.11727172,0.010118571,0.17051272,0.009753252,0.23286916,0.41628173,0.12717694,0.24935372,0.40982714,0.1207612,0.21353407,0.0738213,0.08801449,0.0154794725,0.42137837,0.00012734356,0.09143827,0.043716166,0.6914328,0.02969051,0.18680602,0.044144638,0.026586846,0.2874557,0.19704379,0.41297644,0.019443924,0.04226689,0.20890594,0.27825162,0.22776012,0.012177022,0.4536292,0.02599916,0.055873327,0.07145122,0.03156934,0.050133925,0.29132262,0.022801528,0.10452177,0.3787932,0.3761669,0.027315103,0.44029218,0.043569595,0.05804476,0.7282089,0.019394383,0.06941141,0.04465785,0.03992424
cbtc_train_16,0.029865734,0.008582014,0.16513203,0.036991265,0.03679588,0.14054777,0.084009215,0.2008632,0.08944016,0.08512882,0.17069286,0.1564038,0.16799673,0.0042248443,0.048487633,0.20610875,0.19990428,0.15980454,0.07123937,0.13156505,0.12706475,0.03561026,0.053836435,0.10650175,0.16428924,0.062704764,0.15528895,0.08831619,0.11887734,0.1135832,0.12417697,0.18589297,0.052348763,0.044603277,0.032495845,0.11363612,0.08982236,0.036309842,0.11970761,0.14582472,0.14913538,0.0061119935,0.16862199,0.05262245,0.053894754,0.14575605,0.019270724,0.13946764,0.077164635,0.010025077,0.07639105,0.017775567,0.08014137,0.1918286,0.08301361,0.10930452,0.14685942,0.06703938,0.12279633,0.030799167,0.13955201,0.09072939,0.0934612,0.00017531207,0.08842148,0.18676938,0.25972825,0.20702492,0.044467755,0.014680156,0.111293904,0.1154575,0.13783798,0.075785376,0.113301136,0.021012805,0.050117824,0.118653096,0.1685631,0.010544433,0.16234876,0.17741625,0.031211618,0.030181192,0.024116077,0.023088316,0.1304591,0.10218394,0.061158594,0.07330202,0.088441096,0.025454935,0.13954069,0.16214491,0.034255818,0.15172489,0.07018777,0.034958545,0.032479048,0.026297107
cbtc_train_17,0.021845255,0.018361716,0.033045884,0.041603383,0.05474188,0.1292681,0.015471724,0.39907488,0.046528257,0.068684064,0.28334373,0.17992182,0.16386029,0.0015536745,0.03861365,0.1547232,0.29237753,0.21397935,0.030748699,0.2586346,0.2506942,0.008674787,0.10253535,0.08380715,0.02921198,0.058327746,0.08525312,0.13398825,0.115929626,0.2217119,0.09475327,0.17280789,0.04582854,0.00984939,0.04627952,0.032984972,0.017250173,0.030735692,0.10061146,0.16312288,0.16845243,0.004572347,0.33995688,0.0596259,0.0481084,0.22974867,0.03897877,0.025324797,0.07058436,0.0065794764,0.059144266,0.0171303,0.113849744,0.383978,0.075122334,0.15536545,0.27872914,0.0666836,0.18763639,0.03989166,0.18234128,0.11998664,0.021218512,0.00033705673,0.11175398,0.29612985,0.41254354,0.28535783,0.010029542,0.025866201,0.18447058,0.2215359,0.13345562,0.012404059,0.15344657,0.010411629,0.014589207,0.1956243,0.11961895,0.012153559,0.07582952,0.29075053,0.024386492,0.02723414,0.020616746,0.02222467,0.18231638,0.17938252,0.10426234,0.01197288,0.018499741,0.025187602,0.053347744,0.2348742,0.027613563,0.027677236,0.11475279,0.0386549,0.028778259,0.020025093
cbtc_train_18,0.02405315,0.0022031204,0.3102578,0.024685893,0.012671879,0.12948123,0.13185535,0.57142365,0.10863054,0.050186597,0.035331443,0.059908867,0.09873992,0.0010651092,0.030226361,0.25397882,0.090230785,0.07294557,0.10339196,0.3851561,0.38487884,0.06902736,0.17388815,0.20035422,0.29906312,0.026576411,0.15608004,0.16125588,0.17598353,0.3542301,0.061630435,0.09343522,0.024716455,0.0874431,0.02306603,0.235763,0.1673074,0.043022856,0.081396,0.0822135,0.07380061,0.0041233553,0.5152372,0.023030333,0.03170173,0.057890505,0.076766156,0.25755885,0.04165576,0.0053907256,0.07989093,0.007472564,0.18624263,0.55083615,0.049608473,0.22483656,0.43942893,0.059456993,0.18238497,0.053357232,0.048396435,0.023703909,0.1689853,0.00013967093,0.03620603,0.08748853,0.55910426,0.063387066,0.07878301,0.05784185,0.053764038,0.34482723,0.07362536,0.14456317,0.033575796,0.024022503,0.103317134,0.23876968,0.09692462,0.0058594546,0.23879033,0.049340405,0.032537553,0.035248414,0.012631538,0.017004358,0.2248142,0.040534023,0.09920649,0.13295522,0.14887252,0.012948087,0.21060632,0.06776145,0.036934868,0.27394184,0.040409103,0.027106497,0.018543135,0.015171271
